Shimmer_1B20_TimestampSync_Unix_CAL,Shimmer_1B20_GSR_Range_CAL,Shimmer_1B20_GSR_Skin_Conductance_CAL,Shimmer_1B20_GSR_Skin_Resistance_CAL,Shimmer_1B20_PPG_A13_CAL
ms,no_units,uS,kOhms,mV
1691463253674.51,0,19.0804220654966,52.4097421203438,531.868131868131
1691463255625.65,0,18.4972573032274,54.0620689655172,534.065934065934
1691463257576.80,0,18.0234359338836,55.4833164812942,528.205128205128
1691463259527.94,0,19.9551692089005,50.1123287671232,529.670329670329
1691463261479.09,0,18.9346308749293,52.8132820019249,537.728937728937
1691463263430.23,0,22.6158584367539,44.2167606768734,532.600732600732
1691463265381.38,0,27.0989375466987,36.9018157363819,547.985347985348
1691463267332.52,0,33.2586153481675,30.0673972602739,567.032967032967
1691463269283.67,0,40.1108013048311,24.9309404815992,592.673992673992
1691463271234.81,0,41.0584440435186,24.3555259653794,620.51282051282
1691463273185.96,0,39.709875530771,25.1826525929325,624.175824175824
1691463275137.10,0,39.709875530771,25.1826525929325,624.175824175824
1691463277088.25,0,35.4454832066772,28.2123393316195,608.058608058608
1691463279039.39,0,32.8576895741074,30.4342762063227,599.267399267399
1691463280990.54,0,33.6230933245858,29.7414634146341,589.743589743589
1691463282941.68,0,33.3315109434512,30.0016402405686,591.941391941391
1691463284892.83,0,32.529659395331,30.7411764705882,591.208791208791
1691463286843.97,0,31.3997776684343,31.8473592571096,586.813186813186
1691463288795.11,0,31.3268820731507,31.9214659685863,583.150183150183
1691463290746.26,0,35.8464089807373,27.8967971530249,583.150183150183
1691463292697.40,0,37.595903267545,26.5986427532719,601.465201465201
1691463294648.55,0,36.8669473147085,27.1245674740484,608.058608058608
1691463296599.69,0,36.6847083264993,27.2593144560357,605.128205128205
1691463298550.84,0,37.7052466604705,26.521507974867,605.128205128205
1691463300501.98,0,36.2473347547974,27.5882352941176,608.058608058608
1691463302453.13,0,34.3884970750642,29.0794912559618,602.197802197802
1691463304404.27,0,32.8576895741074,30.4342762063227,594.871794871794
1691463306355.42,0,32.6754505858983,30.6040156162855,588.278388278388
1691463308306.56,0,36.5753649335738,27.3408071748878,587.545787545787
1691463310257.71,0,41.2042352340859,24.2693498452012,605.860805860805
1691463312208.85,0,40.3659358883239,24.7733634311512,621.978021978022
1691463314160.00,0,40.3294880906821,24.7957523723452,620.51282051282
1691463316111.14,0,41.4958176152205,24.098814229249,619.780219780219
1691463318062.29,0,40.6939660671003,24.5736677115987,622.710622710622
1691463320013.43,0,38.1061724345306,26.2424677187948,620.51282051282
1691463321964.58,0,37.595903267545,26.5986427532719,608.058608058608
1691463323915.72,0,36.6482605288575,27.286424664346,608.791208791208
1691463325866.86,0,37.6687988628287,26.5471698113207,603.663003663003
1691463327818.01,0,38.2155158274561,26.1673819742489,608.058608058608
1691463329769.15,0,38.2884114227397,26.117563065207,610.25641025641
1691463331720.30,0,38.871576185009,25.7257383966244,610.25641025641
1691463333671.44,0,37.8510378510378,26.4193548387096,613.186813186813
1691463335622.59,0,37.8510378510378,26.4193548387096,613.186813186813
1691463337573.73,0,41.0219962458768,24.3771657041315,603.663003663003
1691463339524.88,0,43.4275508902374,23.0268569030633,621.245421245421
